restaurant_name,food_id,food_name,food_name_cn,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,added_sugars_g,protein_dv,total_carbs_dv,total_fat_dv,saturated_fat_dv,trans_fat_dv,cholesterol_dv,sodium_dv,dietary_fiber_dv,total_sugars_dv,added_sugars_dv,vitamin_d_mcg,vitamin_d_dv,calcium_mg,calcium_dv,iron_mg,iron_dv,potassium_mg,potassium_dv,description,allergens,ingredient_count,ingredients_full,allergens_full,product_url,local_image_path,scraped_date,
McDonald's,egg-mcmuffin,Egg McMuffin®,,310,17,13,30,6,6,6,6,6,6,6,11,11,1900/1/16,31,31,31,31,31,31,31,6,31,6,31,6,31,6,31,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Barley, Egg, Soy, Milk",6,"English Muffin: Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Water, Yeast, Yellow Corn Meal (degermed Yellow Corn Meal And Corn Flour), Contains 2% Or Less: Sugar, Soybean Oil, Salt, Dough Conditioners (mono-, Di- And Tricalcium Phosphate, Datem, Ascorbic Acid, Enzymes, Ethylated Mono And Diglycerides), Wheat Gluten, Cultured Wheat Flour, Citric Acid, Baking Soda, Fumaric Acid. | Egg: Usda Grade A Eggs. | Canadian Bacon: Pork Cured With: Water, Sugar, Salt, Contains 2% Or Less: Sodium Lactate, Sodium Phosphate, Natural Flavor, Maltodextrin, Sodium Diacetate And Sodium Nitrite (preservatives). | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added. | Salted Butter: Cream, Salt. | Clarified Butter: Pasteurized Cream (butterfat).","Wheat (来源: English Muffin, 等级: Contains) | Soy (来源: English Muffin, 等级: Contains) | Barley (来源: English Muffin, 等级: Contains) | Egg (来源: Egg, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/egg-mcmuffin.html,mcdonalds/images/egg-mcmuffin.jpg,2026-01-26,
McDonald's,sausage-burrito,Sausage Burrito,,310,13,17,25,7,7,7,7,7,7,7,9,9,1900/1/21,36,36,36,36,36,36,36,7,36,7,36,7,36,7,36,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Barley, Egg, Soy, Milk",3,"Scrambled Egg Sausage And Vegetable Mix: Whole Eggs, Pork, Tomatoes, Skim Milk, Soybean Oil, Green Chilies, Onions, Modified Corn Starch, Spices, Salt, Water, Dextrose, Natural Flavors, Xanthan Gum, Citric Acid, Sugar, Rosemary Extract, Calcium Chloride, Citric Acid. | Flour Tortilla: Enriched Flour (bleached Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Shortening (intereserified Soybean Oil, Soybean Oil, Hydrogenated Soybean Oil, Hydrogenated Cottonseed Oil), Contains 2% Or Less: Sugar, Leavening (baking Soda, Corn Starch, Sodium Aluminum Sulfate, Calcium Sulfate, Monocalcium Phosphate), Salt, Mono-diglycerides, Vital Wheat Gluten, Dough Conditioner (sodium Metabisulfite, Corn Starch, Microcrystalline Cellulose, Dicalcium Phosphate). | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added.","Milk (来源: Scrambled Egg Sausage And Vegetable Mix, 等级: Contains) | Egg (来源: Scrambled Egg Sausage And Vegetable Mix, 等级: Contains) | Soy (来源: Scrambled Egg Sausage And Vegetable Mix, 等级: Contains) | Wheat (来源: Flour Tortilla, 等级: Contains) | Soy (来源: Flour Tortilla, 等级: Contains) | Barley (来源: Flour Tortilla, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/sausage-burrito.html,mcdonalds/images/sausage-burrito.jpg,2026-01-26,
McDonald's,iced-coffee-small,McCafé® Iced Coffee,,150,1,5,25,3,3,3,3,3,3,3,9,9,1900/1/5,16,16,16,16,16,16,16,3,16,3,16,3,16,3,16,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.",Milk,4,"Brewed Coffee: Brewed Coffee | Ice: Ice. | Light Cream: Milk, Cream, Sodium Phosphate, Datem, Sodium Stearoyl Lactylate, Sodium Citrate, Carrageenan, Magnesium Oxide. | Liquid Sugar: Sugar, Water, Vegetable Glycerin, Fructose, Potassium Sorbate (preservative).","Milk (来源: Light Cream, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/iced-coffee-small.html,mcdonalds/images/iced-coffee-small.jpg,2026-01-26,
McDonald's,big-mac,Big Mac®,,580,25,34,45,11,11,11,11,11,11,11,16,16,1900/2/11,56,56,56,56,56,56,56,11,56,11,56,11,56,11,56,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Sesame, Wheat, Barley, Egg, Soy, Milk",7,"Big Mac Bun: Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Yeast, Soybean Oil, Contains 2% Or Less: Sesame Seeds, Potato Starch, Salt, Dextrose, Corn Starch, Modified Food Starch, Vinegar, Vegetable Proteins (pea, Potato, Rice And/or Faba Bean), Sunflower And/or Canola Oil, Maltodextrin, Wheat Gluten, Natural Flavors, Dough Conditioners (enzymes, Ascorbic Acid). | 100% Beef Patty: 100% Pure Usda Inspected Beef; No Fillers, No Extenders. | Shredded Lettuce: Lettuce. | Big Mac Sauce: Soybean Oil, Sweet Relish (diced Pickles, Sugar, High Fructose Corn Syrup, Distilled Vinegar, Salt, Corn Syrup, Xanthan Gum, Calcium Chloride, Spice Extractives), Water, Egg Yolks, Distilled Vinegar, Spices, Onion Powder, Salt, Propylene Glycol Alginate, Garlic Powder, Vegetable Protein (hydrolyzed Corn, Soy And Wheat), Sugar, Caramel Color, Turmeric, Extractives Of Paprika, Soy Lecithin. | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added. | Pickle Slices: Cucumbers, Water, Distilled Vinegar, Salt, Calcium Chloride, Alum, Potassium Sorbate (preservative), Natural Flavors, Polysorbate 80, Extractives Of Turmeric (color). | Onions: Onions.","Wheat (来源: Big Mac Bun, 等级: Contains) | Soy (来源: Big Mac Bun, 等级: Contains) | Sesame (来源: Big Mac Bun, 等级: Contains) | Barley (来源: Big Mac Bun, 等级: Contains) | Wheat (来源: Big Mac Sauce, 等级: Contains) | Egg (来源: Big Mac Sauce, 等级: Contains) | Soy (来源: Big Mac Sauce, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/big-mac.html,mcdonalds/images/big-mac.jpg,2026-01-26,
McDonald's,chicken-mcnuggets-4-piece,Piece Chicken McNuggets®,,170,9,10,10,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,1900/1/12,8,8,8,8,8,8,8,1.5,8,1.5,8,1.5,8,1.5,8,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy",1,"Chicken McNuggets®: White Boneless Chicken, Water, Vegetable Oil (canola Oil, Corn Oil, Soybean Oil, Hydrogenated Soybean Oil), Enriched Flour (bleached Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Bleached Wheat Flour, Yellow Corn Flour, Vegetable Starch (modified Corn, Wheat, Rice, Pea, Corn), Salt, Leavening (baking Soda, Sodium Aluminum Phosphate, Sodium Acid Pyrophosphate, Calcium Lactate, Monocalcium Phosphate), Spices, Yeast Extract, Lemon Juice Solids, Dextrose, Natural Flavors.","Wheat (来源: Chicken McNuggets®, 等级: Contains) | Soy (来源: Chicken McNuggets®, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/chicken-mcnuggets-4-piece.html,mcdonalds/images/chicken-mcnuggets-4-piece.jpg,2026-01-26,
McDonald's,ranch-snack-wrap,"It's back
					Ranch Snack Wrap®",,390,17,22,31,6,6,6,6,6,6,6,11,11,1900/1/27,32,32,32,32,32,32,32,6,32,6,32,6,32,6,32,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy, Barley, Milk",5,"Chicken Strips: Chicken Breast Tender With Rib Meat, Water, Vegetable Oil (canola Oil, Corn Oil, Soybean Oil, Hydrogenated Soybean Oil), Seasoning [salt, Garlic Powder, Brown Sugar, Onion Powder, Monosodium Glutamate, Natural Flavors (including Extractives Of Black Pepper), Maltodextrin, Modified Food Starch, Sodium Phosphate]. Battered And Breaded With: Wheat Flour, Water, Modified Corn Starch, Salt, Leavening (sodium Bicarbonate, Sodium Acid Pyrophosphate, Sodium Aluminum Phosphate), Spices (including Celery Seed), Yellow Corn Flour, Onion Powder, Wheat Gluten, Sugar, Garlic Powder, Monosodium Glutamate, Yeast, Soybean Oil, Natural Flavors, Maltodextrin. | Flour Tortilla: Enriched Flour (bleached Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Shortening (intereserified Soybean Oil, Soybean Oil, Hydrogenated Soybean Oil, Hydrogenated Cottonseed Oil), Contains 2% Or Less: Sugar, Leavening (baking Soda, Corn Starch, Sodium Aluminum Sulfate, Calcium Sulfate, Monocalcium Phosphate), Salt, Mono-diglycerides, Vital Wheat Gluten, Dough Conditioner (sodium Metabisulfite, Corn Starch, Microcrystalline Cellulose, Dicalcium Phosphate). | McCrispy Ranch Sauce: Soybean Oil, Cultured Buttermilk (low Fat Milk, Lactose, Salt, Vitamin A Palmitate, Vitamin D3), Sour Cream (cultured Pasteurized Milk, Cream, Nonfat Dry Milk, Modified Corn Starch, Sodium Tripolyphosphate, Guar Gum, Calcium Sulfate, Carrageenan, Mono & Diglycerides, Potassium Chloride, Locust Bean Gum, Potassium Sorbate [preservative]), Water, Distilled Vinegar, Sugar, Contains 2% Or Less: Salt, Sour Cream Powder (cultured Sour Cream, Skim Milk Solids, Whey, Sugar, Citric Acid, Lactic Acid), Spices, Whey Protein Concentrate, Onion Powder, Garlic Powder, Lactic Acid, Potassium Sorbate And Sodium Benzoate (preservatives), Xanthan Gum, Yeast Extract, Dehydrated Parsley, Dehydrated Chives, Modified Guar Gum, Xanthan Gum, Calcium Disodium Edta (protect Flavor). | Shredded Lettuce: Lettuce. | Shredded Cheddar/jack Cheese: Cheddar Cheese (cultured Pasteurized Milk, Salt, Enzymes, Annatto [color]), Monterey Jack Cheese (cultured Pasteurized Milk, Salt, Enzymes), Potato Starch (to Prevent Caking), Natamycin (natural Mold Inhibitor).","Wheat (来源: Chicken Strips, 等级: Contains) | Soy (来源: Chicken Strips, 等级: Contains) | Wheat (来源: Flour Tortilla, 等级: Contains) | Soy (来源: Flour Tortilla, 等级: Contains) | Barley (来源: Flour Tortilla, 等级: Contains) | Milk (来源: McCrispy Ranch Sauce, 等级: Contains) | Soy (来源: McCrispy Ranch Sauce, 等级: Contains) | Milk (来源: Shredded Cheddar/jack Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/ranch-snack-wrap.html,mcdonalds/images/ranch-snack-wrap.jpg,2026-01-26,
McDonald's,quarter-pounder-with-cheese,Quarter Pounder®* with Cheese,,520,30,26,42,12,12,12,12,12,12,12,15,15,1900/2/1,62,62,62,62,62,62,62,12,62,12,62,12,62,12,62,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Sesame, Wheat, Barley, Soy, Milk",7,"Quarter Pound 100% Beef Patty*: 100% Pure Usda Inspected Beef; No Fillers, No Extenders. | Quarter Pound Bun: Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Yeast, Soybean Oil, Contains 2% Or Less: Sesame Seeds, Salt, Wheat Gluten, Dextrose, Guar Gum, Vinegar, Vegetable Proteins (pea, Potato, Rice), Sunflower And/or Canola Oil, Maltodextrin, Natural Flavors, May Contain One Or More Dough Conditioners (datem, Ascorbic Acid, Mono And Diglycerides, Enzymes), Modified Food Starch. | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added. | Ketchup: Tomato Concentrate From Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Water, Salt, Natural Flavors. | Pickle Slices: Cucumbers, Water, Distilled Vinegar, Salt, Calcium Chloride, Alum, Potassium Sorbate (preservative), Natural Flavors, Polysorbate 80, Extractives Of Turmeric (color). | Onions: Onions. | Mustard: Distilled Vinegar, Water, Mustard Seed, Salt, Turmeric, Paprika, Spice Extractive.","Wheat (来源: Quarter Pound Bun, 等级: Contains) | Soy (来源: Quarter Pound Bun, 等级: Contains) | Sesame (来源: Quarter Pound Bun, 等级: Contains) | Barley (来源: Quarter Pound Bun, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/quarter-pounder-with-cheese.html,mcdonalds/images/quarter-pounder-with-cheese.jpg,2026-01-26,
McDonald's,mccrispy-chicken-sandwich,McCrispy®,,470,26,20,46,5,5,5,5,5,5,5,17,17,1900/1/24,27,27,27,27,27,27,27,5,27,5,27,5,27,5,27,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy, Barley",4,"Crispy Chicken Fillet: Chicken Breast Fillets With Rib Meat, Water, Wheat Flour, Vegetable Oil (Canola Oil, Corn Oil, Soybean Oil, Hydrogenated Soybean Oil), Sugar, Salt, Modified Food Starch, Leavening (Baking Soda, Sodium Aluminum Phosphate, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Yellow Corn Flour, Modified Corn Starch, Sodium Phosphate, Spices, Wheat Gluten, Yeast Extract, Monosodium Glutamate, Extractives Of Paprika (Color), Natural Flavors, Gum Arabic, Maltodextrin. | Potato Roll: Enriched Flour (wheat Flour, Malted Barley, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Flour (wheat Flour, Malted Barley Flour), Water, Sugar, Yeast, Potato Flour, Wheat Gluten, Soybean Oil, Contains 2% Or Less: Honey, Salt, Vinegar, Ascorbic Acid, Enzymes, Inactive Yeast, Datem, Natural Flavors, Vegetable Proteins (pea, Potato, Faba Bean), Vegetable Oil (canola And Or Sunflower Oil), Wheat Starch, Dextrose, Colors (turmeric, Paprika), Dextrose, Acetic Acid, Maltodextrin, Wheat Protein. | Crinkle Cut Pickle: Cucumbers, Water, Salt, Distilled Vinegar, Contains 2% Or Less: Calcium Chloride, Natural Flavors, Sodium Benzoate (preservative), Polysorbate 80, Turmeric (color). | Salted Butter: Cream, Salt.","Wheat (来源: Crispy Chicken Fillet, 等级: Contains) | Soy (来源: Crispy Chicken Fillet, 等级: Contains) | Wheat (来源: Potato Roll, 等级: Contains) | Soy (来源: Potato Roll, 等级: Contains) | Barley (来源: Potato Roll, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/mccrispy-chicken-sandwich.html,mcdonalds/images/mccrispy-chicken-sandwich.jpg,2026-01-26,
McDonald's,bacon-egg-cheese-biscuit,"Bacon, Egg  & Cheese Biscuit",,460,17,26,39,13,13,13,13,13,13,13,14,14,1900/2/2,66,66,66,66,66,66,66,13,66,13,66,13,66,13,66,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy, Egg, Milk",6,"Biscuit: Enriched Flour (bleached Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cultured Nonfat Buttermilk (cultured Skim Milk, Nonfat Dry Milk, Modified Food Starch, Salt, Mono And Diglycerides, Locust Bean Gum, Carrageenan), Palm Oil, Palm Kernel Oil, Water, Leavening (sodium Bicarbonate, Sodium Aluminum Phosphate, Monocalcium Phosphate), Contains 2% Or Less: Salt, Sugar, Modified Cellulose, Wheat Protein Isolate, Natural Flavor, Modified Food Starch, Xanthan Gum, Soy Lecithin. | Folded Egg: Eggs, Nonfat Milk, Modified Food Starch, Salt, Citric Acid. | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added. | Thick Cut Applewood Smoked Bacon: Pork Bellies Cured With Water, Salt, Sugar, Natural Smoke Flavor, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite. | Salted Butter: Cream, Salt. | Clarified Butter: Pasteurized Cream (butterfat).","Wheat (来源: Biscuit, 等级: Contains) | Milk (来源: Biscuit, 等级: Contains) | Soy (来源: Biscuit, 等级: Contains) | Milk (来源: Folded Egg, 等级: Contains) | Egg (来源: Folded Egg, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/bacon-egg-cheese-biscuit.html,mcdonalds/images/bacon-egg-cheese-biscuit.jpg,2026-01-26,
McDonald's,sausage-mcmuffin,Sausage McMuffin®,,400,14,26,29,10,10,10,10,10,10,10,11,11,1900/2/1,51,51,51,51,51,51,51,10,51,10,51,10,51,10,51,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy, Barley, Milk",4,"English Muffin: Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Water, Yeast, Yellow Corn Meal (degermed Yellow Corn Meal And Corn Flour), Contains 2% Or Less: Sugar, Soybean Oil, Salt, Dough Conditioners (mono-, Di- And Tricalcium Phosphate, Datem, Ascorbic Acid, Enzymes, Ethylated Mono And Diglycerides), Wheat Gluten, Cultured Wheat Flour, Citric Acid, Baking Soda, Fumaric Acid. | Sausage Patty: Pork, Water, Salt, Spices, Dextrose, Sugar, Rosemary Extract, Natural Flavors. | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added. | Salted Butter: Cream, Salt.","Wheat (来源: English Muffin, 等级: Contains) | Soy (来源: English Muffin, 等级: Contains) | Barley (来源: English Muffin, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/sausage-mcmuffin.html,mcdonalds/images/sausage-mcmuffin.jpg,2026-01-26,
McDonald's,sausage-mcmuffin-with-egg,Sausage McMuffin® with Egg,,480,20,31,30,12,12,12,12,12,12,12,11,11,1900/2/8,62,62,62,62,62,62,62,12,62,12,62,12,62,12,62,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Barley, Egg, Soy, Milk",6,"English Muffin: Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Water, Yeast, Yellow Corn Meal (degermed Yellow Corn Meal And Corn Flour), Contains 2% Or Less: Sugar, Soybean Oil, Salt, Dough Conditioners (mono-, Di- And Tricalcium Phosphate, Datem, Ascorbic Acid, Enzymes, Ethylated Mono And Diglycerides), Wheat Gluten, Cultured Wheat Flour, Citric Acid, Baking Soda, Fumaric Acid. | Egg: Usda Grade A Eggs. | Sausage Patty: Pork, Water, Salt, Spices, Dextrose, Sugar, Rosemary Extract, Natural Flavors. | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added. | Salted Butter: Cream, Salt. | Clarified Butter: Pasteurized Cream (butterfat).","Wheat (来源: English Muffin, 等级: Contains) | Soy (来源: English Muffin, 等级: Contains) | Barley (来源: English Muffin, 等级: Contains) | Egg (来源: Egg, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/sausage-mcmuffin-with-egg.html,mcdonalds/images/sausage-mcmuffin-with-egg.jpg,2026-01-26,
McDonald's,sausage-biscuit,Sausage Biscuit,,460,11,30,37,13,13,13,13,13,13,13,13,13,1900/2/6,66,66,66,66,66,66,66,13,66,13,66,13,66,13,66,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy, Milk",3,"Biscuit: Enriched Flour (bleached Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cultured Nonfat Buttermilk (cultured Skim Milk, Nonfat Dry Milk, Modified Food Starch, Salt, Mono And Diglycerides, Locust Bean Gum, Carrageenan), Palm Oil, Palm Kernel Oil, Water, Leavening (sodium Bicarbonate, Sodium Aluminum Phosphate, Monocalcium Phosphate), Contains 2% Or Less: Salt, Sugar, Modified Cellulose, Wheat Protein Isolate, Natural Flavor, Modified Food Starch, Xanthan Gum, Soy Lecithin. | Sausage Patty: Pork, Water, Salt, Spices, Dextrose, Sugar, Rosemary Extract, Natural Flavors. | Salted Butter: Cream, Salt.","Wheat (来源: Biscuit, 等级: Contains) | Milk (来源: Biscuit, 等级: Contains) | Soy (来源: Biscuit, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/sausage-biscuit.html,mcdonalds/images/sausage-biscuit.jpg,2026-01-26,
McDonald's,sausage-biscuit-with-egg,Sausage Biscuit  with Egg,,530,17,35,38,15,15,15,15,15,15,15,14,14,1900/2/13,75,75,75,75,75,75,75,15,75,15,75,15,75,15,75,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy, Egg, Milk",5,"Biscuit: Enriched Flour (bleached Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cultured Nonfat Buttermilk (cultured Skim Milk, Nonfat Dry Milk, Modified Food Starch, Salt, Mono And Diglycerides, Locust Bean Gum, Carrageenan), Palm Oil, Palm Kernel Oil, Water, Leavening (sodium Bicarbonate, Sodium Aluminum Phosphate, Monocalcium Phosphate), Contains 2% Or Less: Salt, Sugar, Modified Cellulose, Wheat Protein Isolate, Natural Flavor, Modified Food Starch, Xanthan Gum, Soy Lecithin. | Folded Egg: Eggs, Nonfat Milk, Modified Food Starch, Salt, Citric Acid. | Sausage Patty: Pork, Water, Salt, Spices, Dextrose, Sugar, Rosemary Extract, Natural Flavors. | Salted Butter: Cream, Salt. | Clarified Butter: Pasteurized Cream (butterfat).","Wheat (来源: Biscuit, 等级: Contains) | Milk (来源: Biscuit, 等级: Contains) | Soy (来源: Biscuit, 等级: Contains) | Milk (来源: Folded Egg, 等级: Contains) | Egg (来源: Folded Egg, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/sausage-biscuit-with-egg.html,mcdonalds/images/sausage-biscuit-with-egg.jpg,2026-01-26,
McDonald's,bacon-egg-cheese-mcgriddles,"Bacon, Egg & Cheese McGriddles®",,430,17,21,44,9,9,9,9,9,9,9,16,16,1900/1/26,46,46,46,46,46,46,46,9,46,9,46,9,46,9,46,"Our Terms and Conditions have changed. Please take a moment to review the new McDonald’s Terms and Conditions by selecting the link. These include updates 
to our age requirements and the arbitration and dispute resolution process. By continuing to use our website, you agree to the revised Terms & Conditions agreement.","Wheat, Soy, Egg, Milk",5,"Griddle Cakes: Water, Enriched Flour (bleached Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Dextrose, Palm Oil, Contains 2% Or Less: Brown Sugar, Baking Powder (baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Modified Tapioca Starch, Rice Flour, Whey Powder, Salt, Natural Flavors, Buttermilk Powder, Soybean Oil, Caramel Color, Soy Lecithin. | Folded Egg: Eggs, Nonfat Milk, Modified Food Starch, Salt, Citric Acid. | Pasteurized Process American Cheese: Milk, Cream, Water, Sodium Citrate, Salt, Cheese Cultures, Citric Acid, Enzymes, Soy Lecithin, Color Added. | Thick Cut Applewood Smoked Bacon: Pork Bellies Cured With Water, Salt, Sugar, Natural Smoke Flavor, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite. | Clarified Butter: Pasteurized Cream (butterfat).","Wheat (来源: Griddle Cakes, 等级: Contains) | Milk (来源: Griddle Cakes, 等级: Contains) | Soy (来源: Griddle Cakes, 等级: Contains) | Milk (来源: Folded Egg, 等级: Contains) | Egg (来源: Folded Egg, 等级: Contains) | Milk (来源: Pasteurized Process American Cheese, 等级: Contains) | Soy (来源: Pasteurized Process American Cheese, 等级: Contains)",https://www.mcdonalds.com/us/en-us/product/bacon-egg-cheese-mcgriddles.html,mcdonalds/images/bacon-egg-cheese-mcgriddles.jpg,2026-01-26,
